,OC,유동비율1,유동비율2,당좌비율1,당좌비율2,부채비율1,부채비율2,고정비율1,고정비율2,총자산1,총자산2,총자산회전율1,총자산회전율2,ROI1,ROI2,ROE1,ROE2,ROS1,ROS2,총자산증가율,매출액증가율,순이익증가율
0,open,503.020600654568,372.478990247776,495.55610094589,366.377428019612,24.0054685230465,28.9770739071667,88.4029420639056,97.2826337059515,3527286162,3378284235,1.19568694353072,1.27219853364411,6.38365212399799,6.15193010839125,7.91607772524511,7.93457944261702,5.338899248283,4.83566829052189,-95.5894200536386,-1.8688012076741,8.34336682943055
2,open,294.805040109467,0,274.505195308321,0,30.7526217599521,0,40.0923428458127,0,392923166,0,2.5565354143563,0,10.6546922204124,0,13.9312894186428,0,4.16762942558145,0,inf,inf,inf
3,open,46.5904494984682,65.3739015657281,41.207483448102,58.1160706760994,305.71902326795,291.448338569925,311.604519269693,305.563770284515,56220900048,50709282510,1.28968661332521,1.31846346792257,1.60586238788277,1.65332149165129,6.51528919514537,6.47189951028848,1.2451570569864,1.25397595904294,-89.1309494727852,8.44921666454683,7.6865202085452
4,open,21.8514750816078,16.3164435535407,20.3162587496826,14.8441420583309,57811.56197860090,924723.8129638560,50592.63691638710,836603.2350397100,49984417156,51438154831,0.981176550742534,0.934769165126082,0.161549740087961,0.0634598676940244,93.5559778573079,586.891968109694,0.164649002226667,0.0678882766586175,-102.826185503302,1.99808860565527,147.375310503136
5,open,30.4610419542075,22.2743211809014,29.631691952641,21.6176224719712,0,0,inf,inf,0,0,inf,inf,-inf,inf,-inf,inf,-0.137661215509608,0.21752485243889,0,-2.19578247418771,-161.895674520004
6,open,56.0592733712825,83.105549634794,55.2179614239912,82.5478859697583,167.313511843424,103.990471646804,188.190492273683,145.507627731282,38539732706,38530321620,0.585167001754763,0.556311100888236,2.24321850282425,1.25264217817863,5.99642615822097,2.55527068731338,3.83346719158364,2.25169365877941,-99.9755748573998,5.21269999733133,79.1226937132902
7,open,49.9018242632458,77.3819524031216,46.4699462362837,69.6910913676791,1050.52222869107,253.095801915227,864.701359066702,292.031915641938,51349131168,50202682615,1.25336432566765,1.18512460177224,0.882815597243252,2.2547124755875,10.1569896846355,7.96129509655833,0.704356729455331,1.90251090241127,-97.7163599766331,8.17315353424538,-59.9516152355904
8,open,35.7663016384602,23.7706557442515,35.6349965543401,23.5502520068957,0,0,inf,inf,0,0,inf,inf,inf,inf,inf,inf,6.06817719410522,4.28852259711937,0,-0.594228341782206,40.6572596688682
9,open,27.259390620968,20.5440101732171,23.562753651681,17.695555989027,154.792862197083,172.425523101803,231.777757198545,252.458557373101,50260254253,55151255509,0.823833434995576,0.833733150036746,-1.36123369085257,0.699944161628388,-3.46832628211426,1.90682654373666,-1.65231663711231,0.839530204115715,-108.868340731068,-9.9504345136549,-277.230544521677
10,open,46.8077039262073,46.7541305879407,45.7323636977691,38.1641756768958,275.290464115566,393.128278005677,315.785577817109,394.760794376431,72118215612,64357332559,0.68871883671142,0.722373210610927,0.494946089515568,0.378693479529424,1.85748547646482,1.86744463452323,0.718647528037564,0.524235220751271,-87.9409497808425,6.83837326228396,46.4593178887603
11,open,30.1915581672946,0,30.1915581672946,0,198.917566633238,0,238.884365558567,0,19524231291,0,0.759053041582819,0,1.00160706501231,0,2.99397946596139,0,1.31954818720402,0,inf,inf,inf
12,open,10.2570622308297,33.2965457918407,9.77145942211689,32.9224651751942,191.289648015686,122.675063573093,275.350114218647,213.980335348274,23173333783,23433797055,0.129394238700333,0.123465424412843,0.00757629444447035,0.361316771675012,0.0220689614199297,0.804562351027581,0.0585520230310751,2.92646118047465,-101.111485566717,3.6371445864534,-97.9264496938529
13,open,32.2237558498938,31.6078323282922,27.9702877021652,26.7077181108196,774.541823140367,597.345600250424,723.978521375227,601.698050844948,65434068335,67638973784,1.02359331775148,0.93363661055334,-1.25448004057686,0.543920874930582,-10.9709526177929,3.79300829017202,-1.22556489850145,0.582583061527778,-103.259815052844,6.06118670867433,-323.118171652099
15,open,48.2930141944717,52.3803235170179,47.9314771138914,52.2165029448539,8600.82419134492,1550.27647578292,6511.5994422937,1233.1420422363,75572286665,76282077849,1.64081312703521,1.38957934798035,-4.96718728207878,-5.32867352282445,-432.186232668519,-87.9378456184448,-3.02727178387097,-3.83473857075472,-100.930482236476,16.9811320754717,7.65115435035738
16,open,24.0731029775686,23.3664741414242,23.9206201142656,23.2497389967456,601.974178008141,357.947836145921,582.539324440894,381.771747517201,21821099024,23225765625,0.719060915389392,0.632339904187766,-8.99667105603067,-1.7145319014645,-63.1543076936677,-7.85166174278817,-12.5116952729363,-2.71140867452734,-106.047880718679,6.83699770612534,-392.995383444898
17,open,111.56216234782,124.1546572011,109.204647045725,121.112673324284,88.1231939053732,68.7780657975892,149.506672633259,128.917484753241,111289839307,99175245455,0.349794704264178,0.365351172137414,0.356919041732335,0.334291033492255,0.671447500963321,0.564209940462999,1.02036719647641,0.914985523480195,-87.7846595726381,7.43726806473679,19.8111458587169
18,open,6.22618416560958,3.65321674216223,5.99037839438839,3.65321674216223,0,0,inf,inf,0,0,inf,inf,-inf,inf,-inf,inf,-0.28973055628902,4.94289795469157,0,50.1354327881101,-108.8002671427
19,open,42.774774760017,23.3588753702962,39.8575966355726,20.6929470165528,217.964600497215,462.202716380195,235.947920473871,462.991224211479,22518125036,19031401082,1.01789076250158,1.15462452997132,0.608203306363415,1.67998983691431,1.93387121328929,9.44494849804345,0.597513337156815,1.45500965318659,-81.6791000358993,4.30901817695057,-57.1645250531765
20,open,20.201155166521,27.5393608045577,19.6113948730724,26.8919257283969,413.533255664823,288.22130747293,457.458680051396,334.835149587168,20991031011,21834486739,0.814443341446217,0.793030323633476,-0.10906482863087,0.14497575041899,-0.560084165253369,0.562826753795294,-0.133913340659404,0.182812366814355,-103.862951935085,-1.26710627656498,-172.323617170285
21,open,51.0896900259381,27.0095016168281,48.1436088138419,25.7674615182418,249.098272357015,245.561734296082,293.066086939462,291.481348341171,121501686368,119739171520,0.552000489671097,0.548747284893524,0.415768560174524,1.2433200256036,1.4514408605729,4.29643824332629,0.753203245204104,2.26574246439296,-98.5280382137055,2.07353026774376,-66.0675847077341
22,open,20.6684800774451,27.2160213426374,18.7062085577827,25.4662117843857,353.688687122893,242.048832786653,386.564636455573,286.973027044413,10142790873,10370967741,0.916311490532691,1.04013298357438,-17.7109624016991,-9.11745680455492,-80.352632797098,-31.1861545798074,-19.3285390226887,-8.76566453380133,-102.200150204864,-13.8426263229391,-89.9794536726659
23,open,24.4859620225986,91.637893403612,24.2787820989091,90.5910032482973,101.266930169027,87.7188354436768,179.371529332462,169.119161967395,24046565227,25063735478,0.579195445733003,0.475556472436531,4.10139460954126,4.40094879699081,8.25475102474162,8.26140983018366,7.08119278174006,9.25431373994847,-104.058334608155,16.8504244433619,-10.588682709151
24,open,31.9726444491448,26.2572103981699,30.774559162075,25.1186369958706,378.342400570853,425.326478257438,384.260632940023,436.355325181753,18727820750,18483409414,1.28550560587782,1.29390349444326,2.11817610973236,1.93767431093489,10.1321344516121,10.1791162177334,1.64773774618115,1.4975416012526,-98.6776717946048,0.664710674324662,10.7608919496795
25,open,15.2884201444839,64.8126931142238,14.1022238714129,63.7892521289292,4213.26525054914,730.027727135679,3826.74160433372,755.573910829288,11022767599,11982423042,0.825250858126162,0.721363959251206,0.846334036911595,0.956996306991178,36.5046319176775,7.94333469569126,1.0255475999544,1.32664835097191,-108.008859640795,5.23920213624339,-18.6462553600792
